Paises,Continentes,Tasa_no_escolaridad_Preescolar_Hombres,Tasa_no_escolaridad_Preescolar_Mujeres,Tasa_no_escolaridad_Primaria_Hombres,Tasa_no_escolaridad_Primaria_Mujeres,Tasa_no_escolaridad_SecundariaInferior_Hombres,Tasa_no_escolaridad_SecundariaInferior_Mujeres,Tasa_no_escolaridad_SecundariaSuperior_Hombres,Tasa_no_escolaridad_SecundariaSuperior_Mujeres,Tasa_Finalización_Primaria_Hombres,Tasa_Finalización_Primaria_Mujeres,Tasa_Finalización_SecundariaInferior_Hombres,Tasa_Finalización_SecundariaInferior_Mujeres,Tasa_Finalización_SecundariaSuperior_Hombres,Tasa_Finalización_SecundariaSuperior_Mujeres,Competencia_Lectora_Primaria,Competencia_Matemática_Primaria,Competencia_Lectora_SecundariaInferior,Competencia_Matemática_SecundariaInferior,Tasa_Alfabetización_Hombres_15-24_años,Tasa_Alfabetización_Mujeres_15-24_años,Tasa_Natalidad,Matrícula_Bruta_Primaria,Matrícula_Bruta_Terciaria,Tasa_Desempleo
Afghanistan,Asia,0,0,0,0,0,0,44,69,67,40,49,26,32,14,13,11,0,0,74,56,32.49,104.0,9.7,11.12
Albania,Europe,4,2,6,3,6,1,21,15,94,96,98,97,76,80,0,0,48,58,99,100,11.78,107.0,55.0,12.33
Algeria,Africa,0,0,0,0,0,0,0,0,93,93,49,65,22,37,0,0,21,19,98,97,24.28,109.9,51.4,11.7
Andorra,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,106.4,0.0,0.0
Angola,Africa,31,39,0,0,0,0,0,0,63,57,42,32,24,15,0,0,0,0,0,0,40.73,113.5,9.3,6.89
Anguilla,America,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Antigua and Barbuda,America,14,4,4,1,1,2,14,12,0,0,0,0,0,0,0,0,0,0,0,0,15.33,105.0,24.8,0.0
Argentina,America,2,2,0,0,0,0,15,7,91,94,70,79,46,53,46,56,48,31,99,100,17.02,109.7,90.0,9.79
Armenia,Asia,52,50,9,9,11,9,16,4,99,99,95,99,69,79,0,55,0,50,0,0,13.99,92.7,54.6,16.99
Australia,Oceania,13,14,0,0,2,3,10,6,0,0,0,0,0,0,0,64,80,78,0,0,12.6,100.3,113.1,5.27
